country,iso3,yearbirth,durw_lag3,durw_lag2,durw_lag1,durw,durw_lead1,durw_lead2,durw_lead3,ftew_lag3,ftew_lag2,ftew_lag1,ftew,ftew_lead1,ftew_lead2,ftew_lead3,ilow_lag3,ilow_lag2,ilow_lag1,ilow,ilow_lead1,ilow_lead2,ilow_lead3,wrrw_lag1,lfp,gdpcapita,thecapita,phecapita
"Egypt, Arab Rep.",EGY,2000,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,100,19,1140.1177,199.46358,80.718643
"Egypt, Arab Rep.",EGY,2001,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,100,17.4,1161.6714,220.86649,89.384361
"Egypt, Arab Rep.",EGY,2002,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,100,21.5,1170.079,239.31615,96.357666
"Egypt, Arab Rep.",EGY,2003,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,100,21.700001,1187.8024,227.11378,87.123566
"Egypt, Arab Rep.",EGY,2004,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,100,22,1216.1115,223.90855,85.805969
"Egypt, Arab Rep.",EGY,2005,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,100,22.299999,1249.4933,231.17844,91.286987
"Egypt, Arab Rep.",EGY,2006,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,100,20.6,1312.8193,255.43262,112.17841
"Egypt, Arab Rep.",EGY,2007,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,100,19.299999,1382.407,260.03232,107.58003
"Egypt, Arab Rep.",EGY,2008,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,100,19.5,1456.5657,272.41611,114.94496
Ghana,GHA,1998,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,,,,
Ghana,GHA,1999,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,54.299999,440.27576,45.442669,22.865772
Ghana,GHA,2000,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,54.400002,445.87683,44.862629,21.847149
Ghana,GHA,2001,12,12,12,12,12,12,12,6,6,6,6,6,6,12,0,0,0,0,0,0,12,50,52,452.45502,55.020992,31.369638
Ghana,GHA,2002,12,12,12,12,12,12,12,6,6,6,6,6,12,12,0,0,0,0,0,12,12,50,49.599998,461.03677,48.41156,24.044733
Ghana,GHA,2003,12,12,12,12,12,12,12,6,6,6,6,12,12,12,0,0,0,0,12,12,12,50,47.099998,472.69818,51.774925,26.557989
Ghana,GHA,2004,12,12,12,12,12,12,12,6,6,6,12,12,12,12,0,0,0,12,12,12,12,50,44.5,486.38004,69.417587,42.966244
Ghana,GHA,2005,12,12,12,12,12,12,12,6,6,12,12,12,12,12,0,0,12,12,12,12,12,100,41.900002,501.86429,84.785301,56.256557
Ghana,GHA,2006,12,12,12,12,12,12,12,6,12,12,12,12,12,12,0,12,12,12,12,12,12,100,39.299999,520.26782,67.694733,38.737835
Ghana,GHA,2007,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,39.099998,539.6665,83.272858,51.927513
Ghana,GHA,2008,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,38.900002,570.36371,83.725792,48.593075
Honduras,HND,1998,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,,,,
Honduras,HND,1999,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,39,1198.2081,150.44391,70.282219
Honduras,HND,2000,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,37.299999,1241.0372,169.75949,92.050179
Honduras,HND,2001,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,33.599998,1248.9004,181.31783,95.353104
Honduras,HND,2002,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,30,1269.7041,198.39493,106.4101
Honduras,HND,2003,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,30.799999,1300.928,236.38983,134.89375
Honduras,HND,2004,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,31.6,1354.569,240.68929,128.36119
Honduras,HND,2005,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,30.6,1408.1301,251.93381,123.85277
Honduras,HND,2006,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,30.1,1471.0466,269.69592,123.28429
Honduras,HND,2007,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,30.200001,1531.3954,298.79138,137.75089
Honduras,HND,2008,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,30.4,1564.8223,332.09445,147.26663
Kenya,KEN,1998,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,100,,,,
Kenya,KEN,1999,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,100,42.599998,511.15332,47.696301,19.004826
